"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","","0","","7","4","","0"
"0","","0","Пагинация тегов","2","0","","0"
"0","","0","Навигационная панель","1","0","Переход на страницу /tags","0"
"0","","0","Пагинация тегов","5","0","UI тесты пагинации","0"
"0","","0","Пагинация тегов","3","0","API тесты пагинации","0"
"0","","0","Выход из профиля (Log out)","1","0","","0"
"0","","0","Вход в систему (Login)","0","2","Успешная авторизация","0"
"0","","0","Вход в систему (Login)","1","0","Авторизация с неверными данными","0"
"0","","0","Пагинация тегов","1","0","Комбинированные тесты UI+API","0"
